"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","2","","","","BasedGram.Tests.Unit.Services.TestDialogService","BasedGram.Tests.Unit.Services.TestDialogService.UpdateMessage_ShouldThrowException_WhenRepositoryFails","BasedGram.Tests.Unit.Services.TestDialogService.UpdateMessage_ShouldThrowException_WhenRepositoryFails",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","3","","","","BasedGram.Tests.Unit.Repositories.TestUserRepository","BasedGram.Tests.Unit.Repositories.TestUserRepository.UpdateUser_AddNew","BasedGram.Tests.Unit.Repositories.TestUserRepository.UpdateUser_AddNew",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","3","","","","BasedGram.Tests.Unit.Repositories.TestDialogRepository","BasedGram.Tests.Unit.Repositories.TestDialogRepository.UnBlockDialog_NotFound","BasedGram.Tests.Unit.Repositories.TestDialogRepository.UnBlockDialog_NotFound",""
"passed","Thu Nov 21 07:36:54 GMT 2024","Thu Nov 21 07:36:55 GMT 2024","153","","","","BasedGram.Tests.Integration.Repositories.TestUserRepository","BasedGram.Tests.Integration.Repositories.TestUserRepository.UpdateUser_Ok","BasedGram.Tests.Integration.Repositories.TestUserRepository.UpdateUser_Ok",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","3","","","","BasedGram.Tests.Unit.Repositories.TestMessageRepository","BasedGram.Tests.Unit.Repositories.TestMessageRepository.CreateMessage_Ok","BasedGram.Tests.Unit.Repositories.TestMessageRepository.CreateMessage_Ok",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","1","","","","BasedGram.Tests.Unit.Services.TestDialogService","BasedGram.Tests.Unit.Services.TestDialogService.GetDialogMessages_ShouldReturnEmpty_WhenNoMessagesExist","BasedGram.Tests.Unit.Services.TestDialogService.GetDialogMessages_ShouldReturnEmpty_WhenNoMessagesExist",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","1","","","","BasedGram.Tests.Unit.Repositories.TestDialogRepository","BasedGram.Tests.Unit.Repositories.TestDialogRepository.BlockDialog_NotFound","BasedGram.Tests.Unit.Repositories.TestDialogRepository.BlockDialog_NotFound",""
"passed","Thu Nov 21 07:36:48 GMT 2024","Thu Nov 21 07:36:48 GMT 2024","4","","","","BasedGram.Tests.Integration.Services.TestUserService","BasedGram.Tests.Integration.Services.TestUserService.ListAllUsers_Empty","BasedGram.Tests.Integration.Services.TestUserService.ListAllUsers_Empty",""
"passed","Thu Nov 21 07:36:55 GMT 2024","Thu Nov 21 07:36:55 GMT 2024","3","","","","BasedGram.Tests.Integration.Repositories.TestUserRepository","BasedGram.Tests.Integration.Repositories.TestUserRepository.ListAllAdmins_Empty","BasedGram.Tests.Integration.Repositories.TestUserRepository.ListAllAdmins_Empty",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","2","","","","BasedGram.Tests.Unit.Services.TestUserService","BasedGram.Tests.Unit.Services.TestUserService.EraseUser_NotFound","BasedGram.Tests.Unit.Services.TestUserService.EraseUser_NotFound",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","2","","","","BasedGram.Tests.Unit.Repositories.TestMessageRepository","BasedGram.Tests.Unit.Repositories.TestMessageRepository.UpdateMessage_Ok","BasedGram.Tests.Unit.Repositories.TestMessageRepository.UpdateMessage_Ok",""
"passed","Thu Nov 21 07:36:53 GMT 2024","Thu Nov 21 07:36:53 GMT 2024","302","","","","BasedGram.Tests.Integration.Repositories.TestMessageRepository","BasedGram.Tests.Integration.Repositories.TestMessageRepository.DeleteMessage_Ok","BasedGram.Tests.Integration.Repositories.TestMessageRepository.DeleteMessage_Ok",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","3","","","","BasedGram.Tests.Unit.Repositories.TestUserRepository","BasedGram.Tests.Unit.Repositories.TestUserRepository.ListAllAdmins_Ok","BasedGram.Tests.Unit.Repositories.TestUserRepository.ListAllAdmins_Ok",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","0","","","","BasedGram.Tests.Unit.Converters.TestDialogConverter","BasedGram.Tests.Unit.Converters.TestDialogConverter.CoreToDbModel_ShouldReturnNull_WhenNullInput","BasedGram.Tests.Unit.Converters.TestDialogConverter.CoreToDbModel_ShouldReturnNull_WhenNullInput",""
"passed","Thu Nov 21 07:36:52 GMT 2024","Thu Nov 21 07:36:52 GMT 2024","4","","","","BasedGram.Tests.Integration.Repositories.TestMessageRepository","BasedGram.Tests.Integration.Repositories.TestMessageRepository.GetMessageByID_NotFound","BasedGram.Tests.Integration.Repositories.TestMessageRepository.GetMessageByID_NotFound",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","3","","","","BasedGram.Tests.Unit.Services.TestDialogService","BasedGram.Tests.Unit.Services.TestDialogService.CreateDialog_ShouldCreateDialog_WhenDialogDoesNotExist","BasedGram.Tests.Unit.Services.TestDialogService.CreateDialog_ShouldCreateDialog_WhenDialogDoesNotExist",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","5","","","","BasedGram.Tests.Unit.Services.TestDialogService","BasedGram.Tests.Unit.Services.TestDialogService.CreateMessage_ShouldThrowException_WhenRepositoryFails","BasedGram.Tests.Unit.Services.TestDialogService.CreateMessage_ShouldThrowException_WhenRepositoryFails",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","1","","","","BasedGram.Tests.Unit.Repositories.TestMessageRepository","BasedGram.Tests.Unit.Repositories.TestMessageRepository.GetMessageByID_Ok","BasedGram.Tests.Unit.Repositories.TestMessageRepository.GetMessageByID_Ok",""
"passed","Thu Nov 21 07:36:18 GMT 2024","Thu Nov 21 07:36:19 GMT 2024","296","","","","BasedGram.Tests.Unit.Services.TestAuthService","BasedGram.Tests.Unit.Services.TestAuthService.LoginUser_ShouldThrowIncorrectPasswordException_WhenPasswordIsIncorrect","BasedGram.Tests.Unit.Services.TestAuthService.LoginUser_ShouldThrowIncorrectPasswordException_WhenPasswordIsIncorrect",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","16","","","","BasedGram.Tests.Unit.Converters.TestDialogConverter","BasedGram.Tests.Unit.Converters.TestDialogConverter.DbToCoreModel_ShouldReturnNull_WhenNullInput","BasedGram.Tests.Unit.Converters.TestDialogConverter.DbToCoreModel_ShouldReturnNull_WhenNullInput",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","4","","","","BasedGram.Tests.Unit.Converters.TestMessageConverter","BasedGram.Tests.Unit.Converters.TestMessageConverter.DbToCoreModel_ShouldConvertProperly","BasedGram.Tests.Unit.Converters.TestMessageConverter.DbToCoreModel_ShouldConvertProperly",""
"passed","Thu Nov 21 07:36:54 GMT 2024","Thu Nov 21 07:36:54 GMT 2024","5","","","","BasedGram.Tests.Integration.Repositories.TestMessageRepository","BasedGram.Tests.Integration.Repositories.TestMessageRepository.GetMessageByID_Ok","BasedGram.Tests.Integration.Repositories.TestMessageRepository.GetMessageByID_Ok",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","2","","","","BasedGram.Tests.Unit.Repositories.TestDialogRepository","BasedGram.Tests.Unit.Repositories.TestDialogRepository.Update_NotFound","BasedGram.Tests.Unit.Repositories.TestDialogRepository.Update_NotFound",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","0","","","","BasedGram.Tests.Unit.Services.TestUserService","BasedGram.Tests.Unit.Services.TestUserService.ListAllUsers_Ok","BasedGram.Tests.Unit.Services.TestUserService.ListAllUsers_Ok",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","2","","","","BasedGram.Tests.Unit.Repositories.TestUserRepository","BasedGram.Tests.Unit.Repositories.TestUserRepository.GetUserByID_Ok","BasedGram.Tests.Unit.Repositories.TestUserRepository.GetUserByID_Ok",""
"passed","Thu Nov 21 07:36:48 GMT 2024","Thu Nov 21 07:36:48 GMT 2024","9","","","","BasedGram.Tests.Integration.Services.TestDialogService","BasedGram.Tests.Integration.Services.TestDialogService.CreateDialog_ShouldCreateDialog_WhenDialogDoesNotExist","BasedGram.Tests.Integration.Services.TestDialogService.CreateDialog_ShouldCreateDialog_WhenDialogDoesNotExist",""
"passed","Thu Nov 21 07:36:55 GMT 2024","Thu Nov 21 07:36:55 GMT 2024","152","","","","BasedGram.Tests.Integration.Repositories.TestUserRepository","BasedGram.Tests.Integration.Repositories.TestUserRepository.DeleteUser_Ok","BasedGram.Tests.Integration.Repositories.TestUserRepository.DeleteUser_Ok",""
"passed","Thu Nov 21 07:36:55 GMT 2024","Thu Nov 21 07:36:55 GMT 2024","5","","","","BasedGram.Tests.Integration.Repositories.TestUserRepository","BasedGram.Tests.Integration.Repositories.TestUserRepository.ListAllAdmins_Ok","BasedGram.Tests.Integration.Repositories.TestUserRepository.ListAllAdmins_Ok",""
"passed","Thu Nov 21 07:36:55 GMT 2024","Thu Nov 21 07:36:55 GMT 2024","2","","","","BasedGram.Tests.Integration.Repositories.TestUserRepository","BasedGram.Tests.Integration.Repositories.TestUserRepository.ListAllUsers_Empty","BasedGram.Tests.Integration.Repositories.TestUserRepository.ListAllUsers_Empty",""
"passed","Thu Nov 21 07:36:47 GMT 2024","Thu Nov 21 07:36:47 GMT 2024","305","","","","BasedGram.Tests.Integration.Services.TestAuthService","BasedGram.Tests.Integration.Services.TestAuthService.RegisterUser_ShouldThrowUserRegisterAlreadyExistsException_WhenUserAlreadyExists","BasedGram.Tests.Integration.Services.TestAuthService.RegisterUser_ShouldThrowUserRegisterAlreadyExistsException_WhenUserAlreadyExists",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","2","","","","BasedGram.Tests.Unit.Services.TestDialogService","BasedGram.Tests.Unit.Services.TestDialogService.GetDialogMessages_ShouldReturnSortedMessages_WhenMessagesExist","BasedGram.Tests.Unit.Services.TestDialogService.GetDialogMessages_ShouldReturnSortedMessages_WhenMessagesExist",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","1","","","","BasedGram.Tests.Unit.Services.TestUserService","BasedGram.Tests.Unit.Services.TestUserService.FreezeUser_NotFound","BasedGram.Tests.Unit.Services.TestUserService.FreezeUser_NotFound",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","4","","","","BasedGram.Tests.Unit.Repositories.TestMessageRepository","BasedGram.Tests.Unit.Repositories.TestMessageRepository.GetUserMessagesInDialog_Ok","BasedGram.Tests.Unit.Repositories.TestMessageRepository.GetUserMessagesInDialog_Ok",""
"passed","Thu Nov 21 07:36:45 GMT 2024","Thu Nov 21 07:36:46 GMT 2024","1372","","","","BasedGram.Tests.Integration.Services.TestAuthService","BasedGram.Tests.Integration.Services.TestAuthService.LoginUser_ShouldThrowIncorrectPasswordException_WhenPasswordIsIncorrect","BasedGram.Tests.Integration.Services.TestAuthService.LoginUser_ShouldThrowIncorrectPasswordException_WhenPasswordIsIncorrect",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","0","","","","BasedGram.Tests.Unit.Converters.TestMessageConverter","BasedGram.Tests.Unit.Converters.TestMessageConverter.DbToCoreModel_ShouldReturnNull_WhenNullInput","BasedGram.Tests.Unit.Converters.TestMessageConverter.DbToCoreModel_ShouldReturnNull_WhenNullInput",""
"passed","Thu Nov 21 07:36:48 GMT 2024","Thu Nov 21 07:36:48 GMT 2024","4","","","","BasedGram.Tests.Integration.Services.TestDialogService","BasedGram.Tests.Integration.Services.TestDialogService.UpdateMessage_ShouldUpdateMessage_WhenValid","BasedGram.Tests.Integration.Services.TestDialogService.UpdateMessage_ShouldUpdateMessage_WhenValid",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:17 GMT 2024","2","","","","BasedGram.Tests.Unit.Repositories.TestMessageRepository","BasedGram.Tests.Unit.Repositories.TestMessageRepository.DeleteMessage_NotFound","BasedGram.Tests.Unit.Repositories.TestMessageRepository.DeleteMessage_NotFound",""
"passed","Thu Nov 21 07:36:48 GMT 2024","Thu Nov 21 07:36:49 GMT 2024","307","","","","BasedGram.Tests.Integration.Repositories.TestDialogRepository","BasedGram.Tests.Integration.Repositories.TestDialogRepository.CreateDialog_Ok","BasedGram.Tests.Integration.Repositories.TestDialogRepository.CreateDialog_Ok",""
"passed","Thu Nov 21 07:36:17 GMT 2024","Thu Nov 21 07:36:18 GMT 2024","1029","","","","BasedGram.Tests.Unit.Services.TestAuthService","BasedGram.Tests.Unit.Services.TestAuthService.RegisterUser_ShouldThrowUserRegisterAlreadyExistsException_WhenUserAlreadyExists","BasedGram.Tests.Unit.Services.TestAuthService.RegisterUser_ShouldThrowUserRegisterAlreadyExistsException_WhenUserAlreadyExists",""
"passed","Thu Nov 21 07:36:55 GMT 2024","Thu Nov 21 07:36:55 GMT 2024","5","","","","BasedGram.Tests.Integration.Repositories.TestUserRepository","BasedGram.Tests.Integration.Repositories.TestUserRepository.UpdateUser_AddNew","BasedGram.Tests.Integration.Repositories.TestUserRepository.UpdateUser_AddNew",""
"passed","Thu Nov 21 07:36:47 GMT 2024","Thu Nov 21 07:36:47 GMT 2024","414","","","","BasedGram.Tests.Integration.Services.TestAuthService","BasedGram.Tests.Integration.Services.TestAuthService.RegisterUser_ShouldCreateUser_WhenUserDoesNotExist","BasedGram.Tests.Integration.Services.TestAuthService.RegisterUser_ShouldCreateUser_WhenUserDoesNotExist",""
